keyword,ranked,exact_title,avg_score,min_score,fresh_updated,top_titles
"scary game","10","0","4.16","2.71","0","Eyes Horror & Coop Multiplayer | Scary Horror 2: Escape Games | Granny | Ice Scream 1: Scary Horror | Kamla - Horror Exorcism Escape | Into the Dead 2: Zombie Killer | Identity V | Dead Trigger 2 FPS Zombie Game | Resident Evil Survival Unit | Adventure Escape Mysteries"
"mystery game","10","2","4.54","4.31","0","Unsolved: Hidden Mystery Games | Murder by Choice: Mystery Game | Adventure Escape Mysteries | Harry Potter: Hogwarts Mystery | An Elmwood Trail - Crime Story | Mystery Manor: hidden objects | Crime Mysteries: Find objects | Scarlett Mysteries | New York Mysteries 1 | Mystery Files: Hidden Objects"
"detective game","10","2","4.51","4.16","0","Peek a Phone - Detective Game | Murder Mystery - Detective | An Elmwood Trail - Crime Story | Detective Story: Investigation | Detective Games: Last Clue | Detective S: Mystery Puzzle | Murder by Choice: Mystery Game | Criminal Case | Duskwood - Detective Story | Unsolved: Hidden Mystery Games"
"murder game","10","0","4.35","3.93","0","Murder | Murder by Choice: Mystery Game | Murder in Alps: Hidden Mystery | Criminal Archives: Murders | Moonvale: Murder Mystery Game | Murder Mystery - Detective | Nobodies: Murder Cleaner | Small Town Murders: Match 3 | Murder Mysteries: Serializer | Hidden Escape: Murder Mystery"
"escape game","10","4","4.49","4.05","0","The Room | Adventure Escape Mysteries | Rooms & Exits Escape Room Game | Hidden Escape Mysteries | Escape Games: Doom Doors | The Room: Old Sins | Escape Games: Enigma Fables | Escape Games: Secret of Shadow | Boxes: Lost Fragments | Escape Games: Mountain Shade"
"investigation game","10","0","4.46","4.00","0","Criminal Case | Detective Story: Investigation | Duskwood - Detective Story | Murder by Choice: Mystery Game | Peek a Phone - Detective Game | Murder Mystery - Detective | Unsolved: Hidden Mystery Games | Crime Mysteries: Find objects | Detective Montgomery Fox | Detective Games: Last Clue"
"puzzle detective","10","0","4.43","4.00","0","Detective S: Mystery Puzzle | Detective Montgomery Fox | Crime Mysteries: Find objects | Murder Mystery - Detective | Unsolved: Hidden Mystery Games | Criminal Case | June's Journey: Hidden Objects | Detective Story: Investigation | Mystery Files: Hidden Objects | Detective Files: Mystery Cases"
"sudoku","10","10","4.72","4.41","0","Sudoku - Classic Sudoku Puzzle | Sudoku Master Premium: Offline | Sudoku.com - Sudoku Puzzle | Sudoku - Classic Sudoku Puzzle | Sudoku Game - Daily Puzzles | Sudoku - The Clean One | Sudoku Ultimate Offline puzzle | Sudoku: Number Match Game | Sudoku without ads | Sudoku - Classic Sudoku Game"
"crossword","10","10","4.68","4.04","0","Crossword Puzzle Redstone | Daily Themed Crossword Puzzles | Crossword Master - Word Puzzle | Crossword | NYT Games: Wordle & Crossword | Crossword Jam | English Crossword Puzzle | Crossword Go! | Crossword Puzzle Explorer | CodyCross: Crossword Puzzles"
"word search","10","6","4.75","4.62","0","Word Search - Word Puzzle Game | Word Search Explorer | Word Search | Wordscapes Search: Word Games | Wordscapes: Word puzzle game | Word Search | Word Search Quest - Puzzles | Squares — Daily Word Game | Word Search Puzzle Hunt | Fill-in Word: Crossword Puzzle"
"scrabble","10","1","4.52","4.09","0","Scrabble® GO – Fun with Words! | Classic Words Solo | Classic Words Plus | Words With Friends Word Game | Easy Words - Word Puzzle Games | Classic Words With Friends | Wordfeud | Word Game Classic | Word Master - Pro | Word Crack: Board Fun Game"
"jumble word","10","1","4.46","3.50","0","Scrabble® GO – Fun with Words! | Jumble Word Game | Just Jumble | Words With Friends Word Game | Easy Words - Word Puzzle Games | Wordfeud | Classic Words With Friends | CrossCraze Pro | Word Crack: Board Fun Game | Wordfeud Premium"
